hhnumber,signup,birth,employ,marital,sex,age,eduage,socclass,adult,children,shoptrips,shopbycar,transport,car,carnum,inc_hrp_a060,inc_grossnormalweekly_p344,inc_weeklyhhdispos_p389,inc_grosscurrenthhincome_p352
891,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
901,9999,9999,9999,9999,9999,9999,9999,9999,9,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
906,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
907,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
913,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
928,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,623
939,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
942,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
943,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
947,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,230
963,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,19615
978,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
982,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,623
986,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
989,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
990,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
996,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1002,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1003,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1008,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1009,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1012,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1019,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1022,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1034,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1037,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1048,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1062,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1063,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1084,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1093,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1111,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,19615
1120,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1122,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1133,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1163,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,230
1165,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1172,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1175,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1181,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1182,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1187,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1189,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1196,9999,9999,9999,9999,9999,9999,9999,9999,10,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1198,9999,9999,9999,9999,9999,9999,9999,9999,9,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1216,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1217,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1220,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1226,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1230,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1243,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1244,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1252,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1256,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1261,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1262,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1274,9999,9999,9999,9999,9999,9999,9999,9999,1,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1288,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1291,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1303,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1308,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1341,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1343,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1358,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1359,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1369,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1370,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1374,9999,9999,9999,9999,9999,9999,9999,9999,1,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1377,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1382,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1387,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1394,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1397,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1405,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1407,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1419,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1420,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1427,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1429,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1433,9999,9999,9999,9999,9999,9999,9999,9999,9,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1434,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1435,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1437,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1443,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1452,9999,9999,9999,9999,9999,9999,9999,9999,1,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1453,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1455,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1464,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1465,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1467,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1475,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1510,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1513,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
1516,9999,9999,9999,9999,9999,9999,9999,9999,1,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1519,9999,9999,9999,9999,9999,9999,9999,9999,1,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1520,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
1529,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1531,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1542,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
1543,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
1559,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
